,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-MM,IPSL-CM6A-LR
2018-10-15,5.9236193,8.421816,5.7349944,3.3650155,3.5524805,4.071964,5.34087,6.992622,8.069677,4.35608
2018-11-15,8.38262,10.498499,9.337093,5.9357114,6.39135,7.2402487,7.6073303,9.485227,10.576608,6.752676
2018-12-15,10.306573,12.295904,11.249239,8.9190855,9.326934,9.968992,9.3648815,11.904046,12.405056,10.4206915
2019-01-15,12.393783,14.124746,12.884238,11.303336,11.90776,12.007913,11.291961,13.917212,13.396851,12.708761
2019-02-15,13.922808,15.379399,13.64795,12.51457,12.4995985,13.149805,12.073202,15.231048,13.991637,13.745574
2019-03-15,14.457955,15.963224,13.930388,12.934997,12.783007,13.526326,12.188021,15.435997,13.918038,14.020265
2019-04-15,14.12706,15.388907,13.667137,12.409733,12.3226385,13.008016,11.991463,14.371281,13.55086,13.027381
2019-05-15,12.2225895,13.34906,12.0819235,10.952629,10.90197,10.983041,10.870985,12.222643,12.196485,11.06037
2019-06-15,9.25407,10.823109,9.741915,8.8829775,7.8179474,8.507644,8.481201,9.889696,10.089135,8.270087
2019-07-15,5.771424,8.280035,7.245282,6.1858897,4.600312,5.587845,5.3911366,7.753639,8.024225,5.420767
2019-08-15,3.0885372,6.559262,4.7476764,4.077211,1.6803268,2.1021013,3.2705956,6.328823,6.0005774,3.0294762
2019-09-15,3.0315294,6.3358154,3.8580945,3.721829,0.80893797,0.8951776,2.8560383,6.0895443,5.763706,2.6894312
2019-10-15,5.761431,8.255091,6.722002,4.8076177,2.098194,3.671842,4.627568,7.489821,8.346615,4.176254
2019-11-15,8.38617,10.322331,9.132914,6.3116555,5.448389,7.355662,7.842808,9.694258,10.562672,7.032207
2019-12-15,10.337524,12.290327,11.28263,9.302828,9.31687,9.636383,9.8131895,11.595854,12.320129,10.06036
2020-01-15,12.203128,13.931861,13.056251,11.145783,11.644666,11.754755,11.742929,13.949839,13.709212,12.530517
2020-02-15,13.459635,15.16575,13.821693,12.461188,12.7310505,12.865715,12.556781,14.858859,14.318608,13.984581
2020-03-15,14.0860615,15.470013,13.98582,12.626401,13.093338,13.121755,12.685611,15.149255,14.292322,13.977691
2020-04-15,13.877252,14.850078,13.318558,12.072347,12.308388,12.846065,12.211059,14.373604,13.757849,13.209916
2020-05-15,12.4963665,12.683723,11.808486,10.631883,10.990572,11.047784,10.902437,12.799755,11.924006,11.2333
2020-06-15,9.777643,10.414803,9.896322,8.534868,7.938219,8.845715,8.268361,10.415531,10.076004,8.580355
2020-07-15,5.8460703,7.8078637,7.1666093,6.1407022,5.1689057,5.6545057,5.1828933,8.019152,8.098877,5.7647524
2020-08-15,3.076321,6.1457357,4.601208,4.1439714,3.20026,2.0442514,3.3669953,6.381382,6.3061285,3.0010297
