,MPI-ESM1-2-HR,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-LM,NorESM2-MM,IPSL-CM6A-LR
2018-03-15,13.965562,15.81231,18.483082,14.773045,14.468251,13.5260105,14.22458,13.771088,17.377155,13.824059,14.14251,14.784726
2018-04-15,13.60973,15.518926,18.383484,14.521271,14.326227,13.214372,13.760152,13.201038,16.79799,13.179365,13.600682,13.62014
2018-05-15,12.577558,14.515896,16.427822,13.831767,13.425352,11.685836,12.761619,11.937265,14.8464985,11.499067,12.197001,11.924273
2018-06-15,10.223155,12.25931,13.3864975,12.603003,11.548341,9.953649,11.299588,9.495719,12.2026205,9.27218,9.981528,8.907652
2018-07-15,6.487579,8.970678,11.277562,9.661005,8.634982,7.2885165,8.277483,7.572401,9.628333,6.7764564,7.6743474,5.864185
2018-08-15,4.1672897,6.352656,9.070642,7.0686913,5.522347,4.6575,5.2758455,6.035995,7.4512253,4.6807523,5.7326384,4.1050243
2018-09-15,3.8377304,5.4297743,8.303095,5.428719,2.8519175,3.248502,3.0279448,5.687479,7.2344947,4.406806,5.813595,3.42043
2018-10-15,4.990266,6.855167,10.280167,7.034648,4.7625513,4.5098276,5.2316823,6.701805,8.631636,6.825084,8.008187,4.67848
2018-11-15,8.210686,9.529331,11.959357,10.403719,7.171337,6.931302,8.708315,8.43062,11.262736,9.752895,10.543446,7.178828
2018-12-15,10.631981,11.280891,14.194923,12.094677,10.149107,9.941965,10.777104,10.282754,13.794368,12.0713625,12.369611,11.027623
2019-01-15,12.647307,13.766653,16.22817,13.498739,12.389156,12.466494,13.015646,12.323086,16.29439,13.37082,13.358292,13.411934
2019-02-15,13.453754,14.943143,17.494358,14.266224,13.467331,13.143458,13.880199,13.06983,17.401121,13.62837,13.947408,14.502597
2019-03-15,14.007809,15.7076,18.47924,14.70869,13.937627,13.513689,14.323127,13.188578,17.67036,13.7378235,13.873265,14.821337
2019-04-15,13.640673,15.501393,18.279167,14.649149,13.610487,13.106243,14.203529,13.089626,17.160929,12.946474,13.505232,13.958501
2019-05-15,12.538719,14.639656,16.475027,13.988117,12.889838,11.962215,13.005137,12.33342,15.232518,11.181347,12.143983,12.379694
2019-06-15,10.181968,11.511731,13.639054,12.09281,11.376369,10.240321,10.745333,10.318182,12.523612,8.975273,10.028716,9.807138
2019-07-15,7.5178947,8.783814,11.13843,9.364881,7.9857044,6.9420614,8.115058,8.079301,9.911482,6.864079,7.921311,7.109771
2019-08-15,5.4946713,6.332275,8.560604,7.5699487,5.930765,3.2394116,4.6267505,6.148208,8.136228,4.836346,5.888337,4.610525
2019-09-15,5.0414286,5.3844376,8.347291,6.523871,5.0471888,1.3910611,1.6478922,5.4726634,7.6905003,4.0077167,5.674953,3.458753
2019-10-15,6.626677,6.7759957,9.74011,7.7364674,5.523499,2.7962453,5.6985593,6.5813007,9.18388,6.406733,8.307901,4.5692515
2019-11-15,9.169636,9.482496,12.008266,10.017787,7.400499,6.1679225,8.394457,8.863855,11.5588455,9.584708,10.525456,7.5358853
2019-12-15,10.968191,11.176008,14.091433,12.205699,10.272624,9.913623,10.615872,10.620764,13.74046,11.4461565,12.2784605,10.653308
2020-01-15,12.806899,13.294327,15.878395,13.780973,12.273469,12.279729,12.656968,12.665629,15.923107,13.379994,13.67158,13.302597
2020-02-15,14.148604,14.372403,17.402458,14.395843,13.481112,13.364407,13.543631,13.504532,17.06262,13.893149,14.277145,14.813536
2020-03-15,14.629343,15.157988,17.869402,14.603294,13.734496,13.758228,13.845222,13.701065,17.416294,13.733556,14.244592,14.798845
2020-04-15,14.285268,15.133073,17.484205,14.25373,13.424672,13.079253,13.761114,13.296279,16.945724,12.908642,13.709531,14.080843
2020-05-15,13.227472,14.40979,15.4691105,13.482334,12.596513,11.95674,12.757114,12.125728,15.432239,10.872197,11.853409,12.510071
2020-06-15,10.817623,12.172125,12.900438,12.026099,10.794414,9.921692,10.794974,10.121676,13.08112,8.557425,10.002778,10.346809
2020-07-15,7.805604,8.794334,10.213747,9.826254,8.013308,7.0325675,8.4672165,7.2459087,10.303177,6.499726,7.99497,7.353545
2020-08-15,5.5052433,6.1858344,8.021688,6.837709,6.19055,4.9126487,4.4246354,5.631239,8.359566,4.6226926,6.191359,4.5535007
2020-09-15,5.1599803,5.1704426,7.627958,5.1018987,5.04075,3.6572552,1.9137956,5.180107,7.5513864,3.8894157,6.0465603,3.6157122
2020-10-15,6.194833,7.306379,9.053786,7.0424776,5.7007365,4.0781956,5.493215,6.237344,9.380346,6.1594157,8.564206,5.150937
2020-11-15,9.151166,9.906802,11.366352,9.982637,7.498905,6.6408153,8.898926,8.383445,11.378991,9.531624,10.7359705,8.6032915
2020-12-15,11.737887,11.802194,13.929823,12.430783,9.893861,10.016031,11.393271,10.320892,13.434061,11.13875,12.351868,11.588705
2021-01-15,13.808483,14.108362,15.961764,13.663427,12.251624,12.4575205,12.723463,12.274017,15.563114,12.897479,13.526059,13.459065
2021-02-15,14.484041,15.214779,17.351974,14.388221,13.4939165,13.251809,13.428427,12.99701,16.704414,13.809424,14.085527,14.667816
2021-03-15,14.549961,15.589464,17.842472,14.658454,13.991302,13.353067,13.588949,13.178998,17.075161,13.812405,13.865425,14.931919
2021-04-15,14.153376,15.152072,17.564083,14.464677,13.781467,12.93962,13.357814,12.692704,16.858862,12.946205,13.536788,13.452586
2021-05-15,13.246603,14.250026,15.856511,13.723462,13.017122,11.67716,12.453674,11.379027,14.654995,11.114408,12.089496,11.991131
2021-06-15,11.300717,12.324383,13.25649,11.537902,11.209543,9.848318,11.247663,9.278883,12.060783,9.0076685,10.210562,10.032114
2021-07-15,8.111441,9.1563015,10.334382,9.452528,8.512313,7.3403816,7.4225364,6.7573667,9.497444,6.240202,8.03856,6.073027
2021-08-15,5.65263,6.398785,8.13002,7.051944,5.9907846,4.831953,4.419727,5.5062237,7.16975,3.6941032,6.4836526,2.7617707
2021-09-15,5.3526163,4.4516807,7.6236386,5.7258534,4.5377026,3.6505682,3.0425076,5.261227,6.433152,3.1238344,6.5221667,1.8940716
2021-10-15,6.769486,6.6535935,9.660719,7.3292394,5.266625,4.9718723,4.7021213,6.1987977,8.341234,6.300914,8.46014,3.0527358
2021-11-15,9.757737,9.171134,11.746153,9.524342,7.4134016,7.3621173,8.293761,7.961133,11.1532545,9.545115,10.272254,5.432998
2021-12-15,11.792987,11.262817,14.001201,11.530323,9.914162,10.249404,10.527447,10.326279,13.069315,11.361141,12.260173,10.257248
2022-01-15,13.934204,13.893901,16.02118,13.393788,12.32763,12.44535,12.779681,12.159241,15.080877,12.790986,13.589094,13.140844
2022-02-15,14.878116,15.247,17.260456,14.05315,13.387542,13.0074215,13.922164,13.416275,16.04736,13.433229,14.067736,14.625441
2022-03-15,15.246109,15.845451,18.26846,14.569015,13.917505,13.267213,14.191761,13.63876,15.782569,13.5422,14.0591755,14.971182
2022-04-15,14.945144,15.747696,17.698332,14.338478,13.822898,12.729082,14.069646,13.025418,15.385757,12.848144,13.196612,13.947248
2022-05-15,13.454149,14.844912,15.775578,13.596885,12.976701,11.711067,13.211885,11.818418,13.8172245,10.95023,11.64245,12.33209
2022-06-15,10.3992195,12.694646,12.752562,11.836748,10.881709,8.954804,11.228371,9.599871,11.41859,8.757105,9.946607,10.372566
2022-07-15,7.279672,8.999992,10.099049,9.110081,8.297076,5.3938856,8.611321,6.260633,9.176938,5.3148417,7.8359327,7.2580743
2022-08-15,5.177117,5.733203,8.3178215,6.6075034,6.4669642,2.2018077,5.461322,4.455769,7.915384,3.0592072,6.179099,3.341512
2022-09-15,4.755286,4.347197,7.689603,5.386652,5.3333926,1.0561352,3.6702664,4.222631,7.4233766,2.8307338,6.3475504,2.2986207
2022-10-15,5.902782,6.23881,9.761565,6.517885,5.922643,1.7530303,5.974569,5.01034,8.506923,5.424409,8.495255,3.9433408
2022-11-15,8.678393,10.158703,11.618084,9.993024,7.489008,4.3172765,8.909569,7.0404844,10.80585,9.395753,10.29972,8.0795965
2022-12-15,11.127564,11.777788,13.732182,12.055468,10.195491,9.07318,10.863725,9.926418,13.265582,11.19358,12.048416,11.384272
2023-01-15,13.380838,13.720511,16.025665,13.727562,12.449507,11.848317,12.933221,12.12071,14.919735,13.0225115,13.266158,13.563151
2023-02-15,14.636782,14.8455,17.051697,14.169731,13.485148,13.048242,13.783648,13.122945,15.962555,13.576723,13.943773,14.749639
2023-03-15,15.08,15.170834,17.510994,14.331057,14.069791,13.34066,14.01175,13.5866165,16.082987,13.422274,13.596259,15.105001
2023-04-15,14.783846,15.232845,17.180532,13.986777,13.8062105,12.761962,13.772506,13.056924,15.454092,12.919777,13.065493,14.604241
2023-05-15,13.760286,14.601279,15.707142,13.256744,12.954124,11.604135,12.625769,11.650912,13.934774,11.061286,11.591175,12.59132
2023-06-15,10.964276,12.194543,12.854042,11.660428,11.1622305,9.508606,10.922979,9.294461,11.71575,8.703844,9.648477,10.504748
2023-07-15,7.2525525,8.8474045,10.471592,8.936652,8.650558,6.743595,7.9876766,7.0325975,9.420916,5.692534,7.592376,6.890801
2023-08-15,4.8492017,6.2660837,8.293529,7.2672954,5.8110785,3.4066567,4.145173,5.1680183,7.1984897,2.7962265,5.962331,3.1801455
2023-09-15,4.411384,4.4437203,7.5079727,5.9101815,4.1952763,1.4796518,2.121755,4.525898,6.3849387,2.0933766,5.8409724,2.0506878
2023-10-15,5.7388325,6.63773,9.857689,7.2060566,5.077051,2.4673595,5.1312547,6.0437555,7.424767,5.4348736,7.9882865,3.4083076
2023-11-15,8.499005,9.969866,11.771306,9.644466,7.0399895,6.31382,8.053418,8.236405,10.080406,8.827998,10.029299,6.956162
2023-12-15,11.176887,11.780492,14.114798,11.453339,10.165959,9.148231,10.824333,10.260623,12.965572,10.814256,11.631021,11.303516
2024-01-15,13.547506,13.836955,16.166245,13.240073,12.038489,11.62693,12.917745,12.373494,14.604163,13.349931,13.121005,13.652212
2024-02-15,14.495989,15.108817,17.673634,13.798069,13.323276,12.70847,13.71319,13.4766035,15.405016,13.987664,13.850311,14.985071
2024-03-15,14.723367,15.779874,18.474682,14.017499,13.828467,13.235168,14.199472,13.774146,15.80596,13.8048315,13.712413,15.255221
2024-04-15,14.433893,15.610164,18.440329,13.76722,13.587721,12.839833,13.894249,13.0061455,15.240955,12.986459,12.922395,14.510578
2024-05-15,13.240342,14.762276,16.625036,13.052264,12.746509,11.509111,12.697106,11.688305,13.58699,11.224805,11.457721,12.384
2024-06-15,10.410554,12.50127,13.637112,11.302115,10.556244,9.117101,11.100527,9.566711,11.224997,8.676214,9.697474,9.698082
2024-07-15,7.469468,10.068711,10.808069,8.619492,7.760933,6.279156,7.825779,7.1898923,8.7580185,6.1874666,7.173156,6.4355
2024-08-15,5.3261385,5.0622015,9.173836,6.539528,5.835766,3.61665,4.276543,5.8333015,6.3664484,3.543444,5.4557786,3.3430142
2024-09-15,4.7684236,3.553336,8.022777,5.5813384,4.49936,2.5414367,1.7972692,5.472127,5.9673634,2.4610105,5.1519036,2.2265449
2024-10-15,6.237003,6.452662,10.167494,6.450136,5.422132,3.1142242,4.5905066,6.3937106,7.477629,5.7436485,7.4085865,4.0474496
2024-11-15,9.047101,10.257166,12.317094,9.088803,7.5581336,5.8823104,7.7770543,8.333615,9.745687,9.064513,10.046037,7.131783
2024-12-15,11.461596,12.546299,14.142897,10.8576355,10.2836,9.680811,10.621759,10.406303,12.188385,11.053472,12.163338,11.566912
2025-01-15,13.792155,14.190369,16.15064,13.305543,12.259379,12.401626,12.902323,12.305279,14.444265,12.883166,13.64922,13.924697
2025-02-15,14.941239,15.309397,17.679703,14.03222,13.674389,13.380816,13.827702,13.23529,15.365782,13.807955,14.11039,15.449892
2025-03-15,15.348654,15.928598,18.301239,14.395728,13.925306,13.448834,14.131647,13.764032,15.570309,13.748232,14.231426,15.472205
2025-04-15,14.798047,15.740649,17.502584,14.21514,13.763508,13.131568,13.953628,13.188003,14.913641,13.117937,13.459602,14.536932
2025-05-15,13.953644,14.757925,16.053928,13.558557,12.893065,11.991848,12.803822,11.378231,13.389335,11.230427,11.838091,12.744703
2025-06-15,11.302864,12.257143,13.1505575,11.984796,11.292003,9.950061,11.124505,9.136764,11.082402,9.133226,9.688301,10.936586
2025-07-15,8.108823,9.183462,10.348407,8.6466875,8.518685,6.4578466,8.549384,6.938246,8.097401,6.364806,7.455809,7.5339065
2025-08-15,5.8087554,5.2201843,8.759451,6.348047,5.9704065,3.7403965,4.1704288,5.619832,6.4866796,3.6736438,5.57464,3.224928
2025-09-15,5.3789315,3.817954,8.051937,5.2367377,4.5368943,2.3206334,0.7777316,4.9803247,6.1158304,2.7398732,5.346415,2.0806777
2025-10-15,6.65093,6.101004,9.9038925,6.3981876,5.5669928,3.4127371,5.1125636,5.9774084,7.372301,6.3793664,7.7974396,4.173078
2025-11-15,9.192863,9.897922,12.2324505,9.912218,7.6584673,5.7527304,9.042287,7.6676607,9.754293,9.894372,9.961988,8.409966
2025-12-15,11.535942,12.223848,14.377274,11.943584,10.261458,9.300681,10.637234,9.755946,12.262516,11.847954,11.515566,11.400005
2026-01-15,13.767959,13.958252,16.062319,13.618887,12.363257,12.117803,13.084601,11.692216,14.0996065,13.251363,13.6713085,13.467025
2026-02-15,14.992643,15.252608,17.457066,14.354926,13.469631,13.006079,13.752656,13.08545,14.602123,13.669809,14.074227,14.541206
2026-03-15,15.139297,15.696793,18.30127,14.634607,13.957681,13.23411,14.056327,13.686874,15.011905,13.817825,13.903293,14.668945
2026-04-15,14.535706,15.687392,18.297808,14.434926,13.81652,12.67835,13.879969,13.453619,14.844187,13.256555,13.053477,13.829121
2026-05-15,13.444672,14.687206,16.304333,13.472083,12.888649,11.759716,13.038592,12.421337,13.217293,11.325855,11.542227,12.383888
2026-06-15,10.975938,12.534808,13.556474,12.120533,11.096541,9.940155,11.254222,9.424807,10.5680485,9.0090885,9.700851,9.691176
2026-07-15,7.7015085,9.220397,10.525924,9.306583,7.9301887,7.0473685,8.552736,7.163156,8.292756,6.6559057,7.5164533,7.333909
2026-08-15,5.3228636,5.923042,8.073494,6.157174,5.715877,4.726928,4.733582,5.7409153,6.589205,4.5156617,5.431994,3.7571282
2026-09-15,4.9303455,3.3479953,7.2112474,3.5454981,4.7468486,3.740946,3.1687634,5.177292,6.2029686,3.9925928,5.277761,2.0355322
2026-10-15,6.4180665,5.6680627,9.603642,5.868902,5.036746,4.4909654,5.5465026,6.17271,7.558137,6.948539,8.171359,3.912905
2026-11-15,9.023039,9.941025,11.890649,9.78053,6.4473677,6.863394,8.948822,8.3212,9.996675,9.873516,10.573658,7.932658
